timestamp,hostname,pid,status,status_code,username,ip_address,port
Jul 11 09:00:00,medya-db-ssh,5955,Accept,1,can,10.0.2.15,54543
Jul 11 09:08:00,medya-iam-server,1390,Accept,1,ayse,10.10.5.40,58119
Jul 11 09:10:00,medya-db-ssh,1915,Accept,1,can,192.168.1.25,37349
Jul 11 09:17:02,medya-db-ssh,72734,Failed,0,admin,45.134.22.11,52971
Jul 11 09:17:03,medya-iam-server,62066,Failed,0,admin,45.134.22.11,35608
Jul 11 09:17:04,medya-iam-server,61327,Failed,0,oracle,45.134.22.11,60718
Jul 11 09:17:06,medya-iam-server,99770,Failed,0,admin,45.134.22.11,61692
Jul 11 09:17:08,medya-web-prod,35221,Failed,0,root,45.134.22.11,48609
Jul 11 09:17:11,medya-iam-server,48767,Failed,0,admin,45.134.22.11,58925
Jul 11 09:17:13,medya-web-prod,17894,Failed,0,test,45.134.22.11,62964
Jul 11 09:17:16,medya-db-ssh,76459,Failed,0,administrator,45.134.22.11,32371
Jul 11 09:17:18,medya-db-ssh,26557,Failed,0,admin,45.134.22.11,32717
Jul 11 09:17:20,medya-db-ssh,27870,Failed,0,oracle,45.134.22.11,64539
Jul 11 09:17:21,medya-iam-server,15905,Failed,0,root,45.134.22.11,31722
Jul 11 09:17:24,medya-web-prod,99168,Failed,0,admin,45.134.22.11,38072
Jul 11 09:17:25,medya-db-ssh,63247,Failed,0,test,45.134.22.11,45575
Jul 11 09:17:26,medya-iam-server,76775,Failed,0,oracle,45.134.22.11,34758
Jul 11 09:17:28,medya-iam-server,89113,Failed,0,oracle,45.134.22.11,53454
Jul 11 09:17:29,medya-web-prod,35894,Failed,0,test,45.134.22.11,47285
Jul 11 09:17:30,medya-web-prod,31965,Failed,0,administrator,45.134.22.11,41269
Jul 11 09:17:33,medya-web-prod,71576,Failed,0,administrator,45.134.22.11,60909
Jul 11 09:17:35,medya-iam-server,34502,Failed,0,root,45.134.22.11,61691
Jul 11 09:17:38,medya-web-prod,28569,Failed,0,guest,45.134.22.11,60901
